Movie Name,URL,Rating,Verdict
The Shawshank Redemption,/title/tt0111161/?ref_=adv_li_tt,9.3,Excellent
The Godfather,/title/tt0068646/?ref_=adv_li_tt,9.2,Excellent
The Dark Knight,/title/tt0468569/?ref_=adv_li_tt,9.0,Excellent
The Godfather: Part II,/title/tt0071562/?ref_=adv_li_tt,9.0,Excellent
The Lord of the Rings: The Return of the King,/title/tt0167260/?ref_=adv_li_tt,8.9,Good
Pulp Fiction,/title/tt0110912/?ref_=adv_li_tt,8.9,Good
Schindler's List,/title/tt0108052/?ref_=adv_li_tt,8.9,Good
12 Angry Men,/title/tt0050083/?ref_=adv_li_tt,8.9,Good
Inception,/title/tt1375666/?ref_=adv_li_tt,8.8,Good
Fight Club,/title/tt0137523/?ref_=adv_li_tt,8.8,Good
The Lord of the Rings: The Fellowship of the Ring,/title/tt0120737/?ref_=adv_li_tt,8.8,Good
Forrest Gump,/title/tt0109830/?ref_=adv_li_tt,8.8,Good
"The Good, the Bad and the Ugly",/title/tt0060196/?ref_=adv_li_tt,8.8,Good
Joker,/title/tt7286456/?ref_=adv_li_tt,8.7,Good
The Lord of the Rings: The Two Towers,/title/tt0167261/?ref_=adv_li_tt,8.7,Good
The Matrix,/title/tt0133093/?ref_=adv_li_tt,8.7,Good
Goodfellas,/title/tt0099685/?ref_=adv_li_tt,8.7,Good
Star Wars: Episode V - The Empire Strikes Back,/title/tt0080684/?ref_=adv_li_tt,8.7,Good
One Flew Over the Cuckoo's Nest,/title/tt0073486/?ref_=adv_li_tt,8.7,Good
Harakiri,/title/tt0056058/?ref_=adv_li_tt,8.7,Good
Parasite,/title/tt6751668/?ref_=adv_li_tt,8.6,Good
Interstellar,/title/tt0816692/?ref_=adv_li_tt,8.6,Good
City of God,/title/tt0317248/?ref_=adv_li_tt,8.6,Good
Spirited Away,/title/tt0245429/?ref_=adv_li_tt,8.6,Good
Saving Private Ryan,/title/tt0120815/?ref_=adv_li_tt,8.6,Good
The Green Mile,/title/tt0120689/?ref_=adv_li_tt,8.6,Good
Life Is Beautiful,/title/tt0118799/?ref_=adv_li_tt,8.6,Good
Se7en,/title/tt0114369/?ref_=adv_li_tt,8.6,Good
The Silence of the Lambs,/title/tt0102926/?ref_=adv_li_tt,8.6,Good
Star Wars: Episode IV - A New Hope,/title/tt0076759/?ref_=adv_li_tt,8.6,Good
Seven Samurai,/title/tt0047478/?ref_=adv_li_tt,8.6,Good
It's a Wonderful Life,/title/tt0038650/?ref_=adv_li_tt,8.6,Good
Avengers: Endgame,/title/tt4154796/?ref_=adv_li_tt,8.5,Good
Avengers: Infinity War,/title/tt4154756/?ref_=adv_li_tt,8.5,Good
Drishyam,/title/tt3417422/?ref_=adv_li_tt,8.5,Good
Whiplash,/title/tt2582802/?ref_=adv_li_tt,8.5,Good
The Intouchables,/title/tt1675434/?ref_=adv_li_tt,8.5,Good
The Prestige,/title/tt0482571/?ref_=adv_li_tt,8.5,Good
The Departed,/title/tt0407887/?ref_=adv_li_tt,8.5,Good
The Pianist,/title/tt0253474/?ref_=adv_li_tt,8.5,Good
Gladiator,/title/tt0172495/?ref_=adv_li_tt,8.5,Good
American History X,/title/tt0120586/?ref_=adv_li_tt,8.5,Good
The Usual Suspects,/title/tt0114814/?ref_=adv_li_tt,8.5,Good
Léon: The Professional,/title/tt0110413/?ref_=adv_li_tt,8.5,Good
The Lion King,/title/tt0110357/?ref_=adv_li_tt,8.5,Good
Terminator 2: Judgment Day,/title/tt0103064/?ref_=adv_li_tt,8.5,Good
Cinema Paradiso,/title/tt0095765/?ref_=adv_li_tt,8.5,Good
Grave of the Fireflies,/title/tt0095327/?ref_=adv_li_tt,8.5,Good
Back to the Future,/title/tt0088763/?ref_=adv_li_tt,8.5,Good
Once Upon a Time in the West,/title/tt0064116/?ref_=adv_li_tt,8.5,Good
Psycho,/title/tt0054215/?ref_=adv_li_tt,8.5,Good
Casablanca,/title/tt0034583/?ref_=adv_li_tt,8.5,Good
The Great Dictator,/title/tt0032553/?ref_=adv_li_tt,8.5,Good
Modern Times,/title/tt0027977/?ref_=adv_li_tt,8.5,Good
City Lights,/title/tt0021749/?ref_=adv_li_tt,8.5,Good
Capernaum,/title/tt8267604/?ref_=adv_li_tt,8.4,Average
Andhadhun,/title/tt8108198/?ref_=adv_li_tt,8.4,Average
Your Name.,/title/tt5311514/?ref_=adv_li_tt,8.4,Average
Dangal,/title/tt5074352/?ref_=adv_li_tt,8.4,Average
Spider-Man: Into the Spider-Verse,/title/tt4633694/?ref_=adv_li_tt,8.4,Average
Coco,/title/tt2380307/?ref_=adv_li_tt,8.4,Average
Django Unchained,/title/tt1853728/?ref_=adv_li_tt,8.4,Average
The Dark Knight Rises,/title/tt1345836/?ref_=adv_li_tt,8.4,Average
3 Idiots,/title/tt1187043/?ref_=adv_li_tt,8.4,Average
Taare Zameen Par,/title/tt0986264/?ref_=adv_li_tt,8.4,Average
WALL·E,/title/tt0910970/?ref_=adv_li_tt,8.4,Average
The Lives of Others,/title/tt0405094/?ref_=adv_li_tt,8.4,Average
Oldboy,/title/tt0364569/?ref_=adv_li_tt,8.4,Average
Memento,/title/tt0209144/?ref_=adv_li_tt,8.4,Average
Princess Mononoke,/title/tt0119698/?ref_=adv_li_tt,8.4,Average
